start_date,end_date,thresholds,tax_rates
2018-04-01,2020-12-21,"[0, 180000, 250000, 400000, 750000, 1500000]","[3, 6.5, 8, 10.5, 13, 15]"
2020-12-22,2024-12-10,"[0, 180000, 250000, 400000, 750000, 1500000]","[4, 7.5, 9, 11.5, 14, 16]"
2024-12-11,2100-01-01,"[0, 180000, 250000, 400000, 750000, 1500000]","[5, 8.5, 10, 12.5, 15, 17]"
