start_date,end_date,thresholds,tax_rates
2018-04-01,2020-07-26,"[0, 180000, 250000, 400000, 750000, 1500000]","[0, 3.5, 5, 7.5, 10, 12]"
2020-07-27,2021-06-30,"[0, 250000, 400000, 750000, 1500000]","[0, 5, 7.5, 10, 12]"
2021-07-01,2022-10-09,"[0, 180000, 250000, 400000, 750000, 1500000]","[0, 3.5, 5, 7.5, 10, 12]"
2022-10-10,2100-01-01,"[0, 225000, 400000, 750000, 1500000]","[0, 6, 7.5, 10, 12]"
