start_date,end_date,thresholds,tax_rates
2016-04-01,2020-07-07,"[0, 125000, 250000, 925000, 1500000]","[3, 5, 8, 13, 15]"
2020-07-08,2021-06-30,"[0, 500000, 925000, 1500000]","[3, 8, 13, 15]"
2021-07-01,2021-09-30,"[0, 250000, 925000, 1500000]","[3, 8, 13, 15]"
2021-10-01,2022-09-22,"[0, 125000, 250000, 925000, 1500000]","[3, 5, 8, 13, 15]"
2022-09-23,2024-10-30,"[0, 250000, 925000, 1500000]","[3, 8, 13, 15]"
2024-10-31,2025-03-31,"[0, 250000, 925000, 1500000]","[5, 10, 15, 17]"
2025-04-01,2100-01-01,"[0, 125000, 250000, 925000, 1500000]","[5, 7, 10, 15, 17]"
